bins,LBMB011,LBMB043,LBMB198,LBMB200,LBMB203,LBMB204,LBMB205,LBMB206,LBMB207,LBMB208,LBMB210,LBMB211,LBMB212,LBMB213,LBMB216,LBMB217,LBMB218,LBMB219,LBMB220,LBMB221,LBMB222,LBMB223,LBMB224,LBMB225,LBMB226,LBMB227,LBMB228,LBMB229,LBMB230,LBMB231,LBMB232,LBMB233,LBMB234,LBMB235,LBMB236,LBMB237,LBMB238,LBMB239,LBMB240,LBMB241,LBMB242,LBMB243,LBMB244,LBMB245,LBMB246,LBMB247,LBMB248,LBMB249,MB001A,MB004A,MB005A,MB007A,MB008A,MB009A,MB011A,MB012A,MB015A,MB016A,MB017A,MB018A,MB020A,MB021A,MB022A,MB023A,MB025A,MB028A,MB029A,MB030A,MB031A,MB032A,MB037A,MB039A,MB042A,MB045A,MB053A,LBHC018,CRCC83,CRCC86,CRCC90,LBHC029,LBHC030,LBHC033,LBHC022,LBHC046,LBHC050,LBHC051,LBHC052,LBHC055,LBHC056,LBHC044,LBHC054,LBHC060,LBHC062,LBHC064,LBHC065,LBHC066,LBHC068,LBHC071,LBHC073,CRCC100,CRCC101,CRCC107,CRCC11,CRCC4,CRCC5,CRCC7,CRCC8,CRCC9,CRCC97,CRCC108,CRCC109,CRCC110,CRCC111,LBGS006,LBGS009,LBGS013,LBGS015,LBGS016,LBGS017,LBGS019,LBGS021,LBGS027,LBGS033,LBGS036,LBGS042,LBGS065,LBGS066,LBGS067,LBGS089,LBGS092,LBGS096,LBGS098,LBGS099,LBGS106,LBGS109,CRCC12,LBGS111
10:1-5000000,6406,14820,15934,8800,16490,7838,13998,16112,14086,7224,12740,5934,16414,9118,4778,6782,9246,13810,6870,13542,16224,12090,11056,8282,9626,14548,12210,15742,5378,6740,9852,7568,14990,9058,13512,18842,12066,10824,5768,9516,8040,7642,9502,16330,10238,12720,10654,10418,7126,4492,4450,2568,6556,5380,2662,4972,4226,8670,5172,3854,5122,7208,8302,9022,5500,6952,11292,13708,9366,13500,13216,11632,8756,6036,8850,14144,8094,6054,5280,16906,8396,13516,8482,13908,11818,16558,8202,13344,14406,15416,16652,15368,9190,14470,13972,16064,15602,16388,14688,7516,11508,12080,10524,6618,16692,15116,8502,9448,8534,5346,6068,3436,2404,8302,10064,9376,11735,8868,10472,13980,10074,9458,8248,13558,12204,10370,8638,8640,5346,3374,4296,5414,5396,6240,5254,2876,5926
10:100000001-105000000,5728,12998,15112,8138,15526,7128,12832,14382,12912,6172,11592,5054,15138,7342,4068,5654,7684,11304,5672,11526,14544,10342,9992,7444,7624,12594,10160,12852,3748,5396,8928,5996,12434,8172,11722,16000,9174,8652,4812,7906,6686,5628,7308,13716,8470,10792,8759,8554,6928,4776,4634,2892,6564,5124,2536,4578,3874,7730,5396,3996,4882,7302,7638,8256,5598,6564,9954,12096,7186,12300,11309,9816,7228,4726,7730,12348,7560,5490,4680,15104,6314,11944,7578,11872,9784,14082,7148,11382,12116,13060,15124,13386,7518,13038,11290,13182,13612,14038,12870,6654,10446,10344,8812,5740,15342,13740,6994,8288,7386,4360,4972,2696,2034,6452,8142,7515,10034,6980,8850,10516,7846,7518,6160,9768,9406,8142,7032,6590,4180,2770,2890,4558,4038,4877,4432,2558,4578
10:10000001-15000000,6272,12936,15512,8046,15982,7236,13390,14734,13576,6656,11892,5242,15020,7472,4144,6180,7936,11992,5636,12100,15408,10478,9976,7992,8594,13228,10507,13660,4248,5806,8962,6096,13122,8364,12528,16750,9816,9490,5192,8422,6942,5882,7834,15024,9050,11170,9370,9034,7090,4486,4616,2770,6678,5580,2760,4770,3892,8098,5438,3978,4736,7480,7962,8554,5364,6978,9954,11972,7688,12356,12012,10160,7456,4872,7804,12782,7998,5762,4792,15468,7018,12492,7324,11874,9900,14202,7414,11538,12614,13574,16074,14122,7956,13132,11704,13868,14336,14524,12708,6892,10840,10594,9330,5978,16548,13680,7192,8572,7836,4696,5070,2796,2108,6900,8400,8014,10330,7554,9102,10604,8312,7860,6382,10286,9886,8564,7158,6754,4232,2928,3302,4582,4348,5034,4564,2648,4794
10:105000001-110000000,5390,11446,13724,6988,14684,6638,11712,13548,11716,5646,10804,4142,12556,6324,3880,5166,6558,10046,4516,10552,13096,8942,9134,7170,6522,12248,8882,11710,3142,5020,8326,5136,11306,7716,10951,15244,8260,7802,4386,7044,6164,4538,6312,12426,7692,9534,8022,7700,6472,3954,4120,2500,5990,4888,2528,4160,3298,7094,4746,3648,4508,6858,6928,7996,5056,6198,9222,11024,6378,11852,10206,9508,6438,3804,6730,11518,7380,5090,4284,13726,5986,10840,6674,10808,8424,11946,6374,9980,10464,12284,13678,12468,6600,11680,9934,12044,12604,12688,10974,5928,9398,9456,7984,5212,14362,13148,6014,7476,7146,3720,4656,2466,1878,5604,6806,6476,9098,6400,7594,9384,6886,6532,5394,8262,8022,7294,6062,5824,3598,2398,2588,4140,3534,4132,3804,2156,3944
10:110000001-115000000,5250,11678,14252,7406,14444,6460,12072,13630,11902,5494,10922,4060,12926,6386,3720,5162,6758,10240,4866,10542,13398,9286,9014,7310,6974,12174,8854,11406,3156,5304,8544,5062,11596,7718,11043,15342,8278,7724,4390,7096,5864,4668,6230,12702,7798,9782,7778,7822,6458,4042,4346,2684,6330,4880,2680,4186,3578,7322,4994,3778,4794,6728,7386,8262,5124,6226,9364,11098,6320,11322,10394,9206,6650,3948,7136,11560,7286,5288,4282,14146,5920,10978,6838,10826,8408,12160,6474,10502,10696,12432,13848,12942,7006,12218,9898,11894,12918,12800,11078,5778,9614,9328,7870,5202,14348,13144,6226,7584,7290,3840,4670,2360,1808,5606,7032,6726,9090,6658,7676,9318,6748,6676,5100,8928,8206,7444,6050,5513,3612,2496,2500,4254,3544,4402,3774,2304,4014
10:115000001-120000000,5298,10958,14128,6888,13636,6314,11520,12390,11630,5292,10662,3866,12620,6028,3600,4960,6267,9514,4656,9650,12522,8764,9008,7104,6452,11342,8722,11286,3098,4888,7998,4808,10906,7588,10188,14638,8018,6990,4124,6950,5528,4288,5890,12040,7046,9004,7738,7336,6124,3920,4150,2340,6004,4788,2284,3816,3282,7050,4772,3330,4118,6332,6800,7742,4718,5940,8822,10740,5828,11276,10092,9034,6307,3608,6466,11236,6834,4926,4082,13462,5534,10306,6316,10414,8108,11656,5966,10174,10234,11824,13382,11976,6188,11640,9592,11662,12120,12076,10486,5746,9378,9040,7802,5142,13714,12350,5848,7552,6774,3708,4276,2276,1748,5784,6856,6496,8518,6024,7266,9086,6598,6344,4966,7842,7826,7216,5582,5373,3204,2324,2222,4094,3414,4110,3722,2232,3930
10:120000001-125000000,6068,13592,15668,8072,15684,7382,13630,14904,13210,6410,12084,5358,15600,7986,4352,5912,7937,12070,5874,11760,14672,10657,10092,8026,8487,13364,10756,13876,4272,5828,9154,6250,13362,8770,12376,17426,9502,9360,5286,8306,6916,6236,7898,15064,9266,11274,9030,9026,7122,4652,4440,2846,6640,5490,2758,4620,4030,8522,5210,3890,4920,7398,8067,8568,5524,6758,10048,12052,7772,12528,12226,10358,7517,4764,8048,12942,8006,5694,4712,15218,7142,12481,7962,12090,10184,13992,7282,11874,12926,13944,15924,14260,7870,13458,12136,14370,14350,14666,12850,6582,10778,10670,9290,5754,16590,14266,7466,8546,7802,4554,5162,2926,1964,6656,8664,7964,10210,7678,8746,11034,8120,8106,6400,10776,9914,8605,7340,7040,4268,2804,3248,4702,4354,5064,4390,2730,4772
10:125000001-130000000,5710,13036,14842,8086,15106,7252,12376,14634,13146,6420,11764,4654,14564,7941,4112,5984,8046,12044,5720,11798,14540,10825,10146,7980,8281,13046,10660,13630,4112,5704,8686,6328,13146,8438,12374,17096,10022,9246,5098,8268,6806,5938,7634,14212,8896,10914,8776,9084,6992,4378,4200,2736,6542,5784,2704,4682,3948,8392,5158,3906,4814,7402,7713,8526,5336,6554,9784,12630,7416,12512,12104,9716,7696,4560,7934,13020,7992,5414,4594,14964,6922,12197,7824,12128,10112,13264,7266,11678,12072,14048,15430,13922,7840,13174,12036,13936,14338,15020,12648,6500,10620,10934,9050,5932,16218,14180,7566,8570,7752,4588,5094,2980,2060,6816,8462,7868,10150,7550,8982,10832,8318,7818,6564,10808,9978,8309,7138,6760,4310,2986,3174,4672,4416,5026,4264,2582,4696
10:130000001-135000000,6672,15166,16272,9407,16662,7884,14478,16628,14680,7780,13064,6118,16934,9533,5218,7256,9460,14488,7476,13956,17078,12566,11454,8844,10338,15122,12672,16672,5850,6932,10148,8046,14934,9608,14134,19588,11902,11394,6196,10184,8402,7958,9802,17244,10738,13502,10786,11086,7390,5012,4634,2762,6726,6166,2832,5100,4306,9286,5490,4152,5306,7958,8700,9380,5912,7560,11564,14180,10230,14094,13726,11496,9058,6646,9366,14460,9118,6526,5324,17346,8454,14004,9002,14294,12676,17218,8834,14198,15224,16268,17612,16501,9992,14864,14870,16166,16532,17164,15098,7816,12268,12710,10536,6476,17696,15424,9122,9988,8878,5516,6408,3690,2462,9162,10316,9830,12282,9212,11068,14298,10722,10100,9034,14404,12228,10890,8682,9070,5484,3652,4262,5412,5554,6078,5476,2906,6136
10:135000001-135534747,648,1442,1386,761,1620,682,1316,1596,1346,732,1150,646,1512,1000,410,718,958,1222,714,1398,1678,1200,1074,802,1076,1350,1208,1692,592,634,976,870,1542,892,1288,1930,1254,1026,612,1020,932,758,1068,1630,1064,1414,984,1006,764,410,360,314,684,588,284,536,400,894,550,384,458,708,754,838,602,646,1148,1322,974,1164,1434,1022,1044,688,1014,1426,822,632,500,1672,846,1312,806,1494,1306,1576,848,1430,1488,1568,1664,1629,1020,1398,1390,1476,1604,1726,1450,760,1174,1308,1138,612,1582,1506,916,1002,734,526,732,352,240,996,952,1064,1258,908,1138,1490,1166,890,958,1462,1262,1068,848,924,622,418,446,496,552,696,514,310,674
